,T (degC)
56405,-4.64
56411,-4.87
56417,-4.97
56423,-4.81
56429,-4.75
56435,-4.97
56441,-4.29
56447,-4.78
56453,-4.48
56459,-3.63
56465,-2.45
56471,-1.71
56477,-1.47
56483,-0.79
56489,-0.47
56495,-0.17
56501,0.28
56507,0.73
56513,1.66
56519,2.05
56525,1.49
56531,0.85
56537,1.34
56543,1.03
56549,0.31
56555,-0.34
56561,-0.66
56567,-0.23
56573,-0.1
56579,-0.63
56585,-0.7
56591,-0.52
56597,-0.57
56603,-0.93
56609,-0.67
56615,-0.87
56621,-0.97
56627,-0.77
56633,-0.99
56639,-0.9
56645,-0.8
56651,-0.53
56657,1.12
56663,1.6
56669,1.32
56675,0.94
56681,1.14
56687,1.08
56693,0.56
56699,0.5
56705,0.41
56711,0.54
56717,0.13
56723,0.18
56729,-0.31
56735,-0.9
56741,-1.15
56747,-1.2
56753,-1.55
56759,-1.55
56765,-1.56
56771,-1.87
56777,-2.04
56783,-2.56
56789,-0.95
56795,-1.32
56801,-1.64
56807,-1.42
56813,-1.05
56819,-1.42
56825,0.01
56831,-1.75
56837,-3.19
56843,-3.79
56849,-4.17
56855,-4.09
56861,-4.03
56867,-4.11
56873,-4.23
56879,-4.28
56885,-5.13
56891,-4.67
56897,-5.92
56903,-6.46
56909,-6.65
56915,-7.48
56921,-8.36
56927,-8.51
56933,-7.26
56939,-4.47
56945,-2.78
56951,-2.59
56957,-3.31
56963,-1.55
56969,-1.48
56975,-0.15
56981,-1.94
56987,-3.36
56993,-3.9
56999,-4.99
57005,-5.39
57011,-5.65
57017,-5.94
57023,-5.28
57029,-3.79
57035,-3.3
57041,-3.31
57047,-3.0
57053,-2.99
57059,-3.23
57065,-3.05
57071,-3.29
57077,-1.94
57083,-1.2
57089,-1.06
57095,-0.61
57101,-0.13
57107,-0.91
57113,-0.82
57119,-1.18
57125,-1.5
57131,-2.14
57137,-2.43
57143,-2.61
57149,-2.36
57155,-2.57
57161,-2.28
57167,-2.38
57173,-1.64
57179,-2.8
57185,-4.08
57191,-5.31
57197,-5.74
57203,-6.26
57209,-6.11
57215,-6.48
57221,-5.22
57227,-3.75
57233,-1.24
57239,-0.27
57245,-0.54
57251,-0.2
57257,0.12
57263,0.37
57269,0.08
57275,0.37
57281,0.84
57287,1.21
57293,1.21
57299,1.39
57305,1.56
57311,2.07
57317,1.79
57323,1.41
57329,1.02
57335,0.5
57341,0.03
57347,-0.28
57353,-0.43
57359,-0.63
57365,-0.24
57371,1.02
57377,2.07
57383,2.37
57389,2.2
57395,2.57
57401,2.16
57407,1.52
57413,0.61
57419,-0.09
57425,-0.77
57431,-0.92
57437,-1.51
57443,-1.61
57449,-1.97
57455,-3.3
57461,-3.63
57467,-4.12
57473,-4.81
57479,-4.35
57485,-3.9
57491,-3.65
57497,-3.11
57503,-2.37
57509,-0.68
57515,1.72
57521,3.98
57527,4.06
57533,5.01
57539,5.17
57545,4.24
57551,4.11
57557,3.41
57563,2.55
57569,1.82
57575,1.61
57581,0.95
57587,1.03
57593,0.37
57599,-0.57
57605,-1.28
57611,-1.31
57617,-1.33
57623,-1.15
57629,-1.4
57635,-2.0
57641,-2.4
57647,-2.39
57653,-0.75
57659,-0.17
57665,0.77
57671,1.15
57677,2.17
57683,1.79
57689,0.95
57695,0.47
57701,-0.1
57707,-0.76
57713,-1.37
57719,-1.52
57725,-1.64
57731,-1.57
57737,-1.51
57743,-1.44
57749,-1.26
57755,-1.22
57761,-1.11
57767,-1.21
57773,-1.13
57779,-0.75
57785,-0.61
57791,-1.1
57797,-0.57
57803,0.08
57809,0.29
57815,0.83
57821,1.39
57827,1.77
57833,1.59
57839,1.35
57845,0.69
57851,0.7
57857,0.75
57863,0.36
57869,0.22
57875,-0.17
57881,-0.55
57887,-0.91
57893,-1.56
57899,-1.87
57905,-2.59
57911,-2.83
57917,-3.18
57923,-3.43
57929,-4.03
57935,-4.85
57941,-5.62
57947,-5.95
57953,-5.8
57959,-5.63
57965,-6.0
57971,-6.24
57977,-6.6
57983,-6.67
57989,-6.64
57995,-6.57
58001,-6.64
58007,-6.77
58013,-6.34
58019,-6.01
58025,-5.87
58031,-5.99
58037,-6.1
58043,-6.16
58049,-6.07
58055,-6.37
58061,-6.34
58067,-6.6
58073,-6.87
58079,-6.8
58085,-6.89
58091,-6.64
58097,-6.35
58103,-6.83
58109,-6.61
58115,-6.28
58121,-6.65
58127,-7.05
58133,-7.34
58139,-7.89
58145,-8.66
58151,-9.08
58157,-8.82
58163,-8.5
58169,-8.42
58175,-7.87
58181,-7.74
58187,-7.35
58193,-7.22
58199,-7.28
58205,-7.51
58211,-7.82
58217,-8.14
58223,-8.27
58229,-7.27
58235,-6.68
58241,-5.91
58247,-5.62
58253,-6.12
58259,-5.94
58265,-5.58
58271,-5.68
58277,-6.27
58283,-6.77
58289,-6.66
58295,-6.66
58301,-6.6
58307,-6.69
58313,-6.86
58319,-6.81
58325,-6.86
58331,-7.19
58337,-7.04
58343,-7.13
58349,-7.14
58355,-7.38
58361,-7.21
58367,-7.2
58373,-7.05
58379,-6.12
58385,-5.59
58391,-6.07
58397,-6.01
58403,-6.06
58409,-5.91
58415,-5.93
58421,-6.33
58427,-6.37
58433,-6.88
58439,-7.11
58445,-7.26
58451,-7.22
58457,-7.22
58463,-7.33
58469,-7.46
58475,-7.59
58481,-7.73
58487,-7.73
58493,-7.55
58499,-7.4
58505,-7.17
58511,-6.77
58517,-6.58
58523,-6.15
58529,-6.18
58535,-5.7
58541,-5.46
58547,-5.48
58553,-5.38
58559,-5.64
58565,-6.49
58571,-6.48
58577,-6.21
58583,-6.03
58589,-5.71
58595,-5.57
58601,-5.15
58607,-4.96
58613,-4.74
58619,-4.3
58625,-4.09
58631,-4.21
58637,-4.18
58643,-4.24
58649,-4.2
58655,-3.88
58661,-3.85
58667,-3.34
58673,-2.96
58679,-2.58
58685,-2.52
58691,-2.69
58697,-2.86
58703,-3.1
58709,-3.12
58715,-3.47
58721,-3.45
58727,-3.77
58733,-3.9
58739,-4.1
58745,-4.42
58751,-4.77
58757,-4.99
58763,-5.18
58769,-5.44
58775,-5.8
58781,-5.95
58787,-5.87
58793,-5.86
58799,-5.41
58805,-5.16
58811,-4.63
58817,-3.48
58823,-3.1
58829,-3.48
58835,-3.72
58841,-2.1
58847,-3.84
58853,-4.47
58859,-4.88
58865,-4.91
58871,-5.24
58877,-5.36
58883,-5.6
58889,-5.73
58895,-5.72
58901,-5.82
58907,-6.06
58913,-6.32
58919,-7.08
58925,-6.73
58931,-7.36
58937,-7.47
58943,-6.74
58949,-6.05
58955,-4.09
58961,-2.55
58967,-2.08
58973,-1.48
58979,-2.11
58985,-2.52
58991,-2.91
58997,-3.61
59003,-4.03
59009,-4.34
59015,-4.55
59021,-4.89
59027,-5.13
59033,-5.36
59039,-5.5
59045,-5.66
59051,-5.48
59057,-5.93
59063,-5.74
59069,-5.87
59075,-5.89
59081,-5.9
59087,-5.86
59093,-5.42
59099,-3.92
59105,-2.44
59111,-2.79
59117,-2.8
59123,-2.96
59129,-3.29
59135,-3.43
59141,-3.76
59147,-3.96
59153,-4.17
59159,-4.27
59165,-4.82
59171,-5.58
59177,-6.2
59183,-6.76
59189,-6.55
59195,-6.74
59201,-6.48
59207,-6.2
59213,-6.17
59219,-5.92
59225,-5.92
59231,-5.56
59237,-4.89
59243,-4.2
59249,-3.62
59255,-3.2
59261,-2.53
59267,-2.63
59273,-2.74
59279,-3.16
59285,-4.06
59291,-5.17
59297,-6.15
59303,-7.27
59309,-8.38
59315,-9.69
59321,-10.67
59327,-11.22
59333,-12.05
59339,-12.86
59345,-13.09
59351,-13.53
59357,-13.66
59363,-13.8
59369,-13.73
59375,-12.29
59381,-7.57
59387,-6.04
59393,-3.0
59399,-0.24
59405,1.3
59411,3.3
59417,4.64
59423,2.65
59429,1.34
59435,0.24
59441,-0.47
59447,-0.76
59453,-1.1
59459,-1.17
59465,-1.44
59471,-1.63
59477,-1.44
59483,-1.03
59489,-0.84
59495,-0.68
59501,-0.56
59507,-0.16
59513,0.19
59519,0.87
59525,1.84
59531,3.36
59537,4.22
59543,4.78
59549,5.84
59555,5.74
59561,5.08
59567,5.37
59573,4.03
59579,3.11
59585,1.61
59591,0.94
59597,0.11
59603,0.06
59609,-0.51
59615,-1.4
59621,-1.71
59627,-2.32
59633,-2.14
59639,-1.62
59645,-1.45
59651,-1.53
59657,-0.41
59663,0.96
59669,1.4
59675,2.08
59681,3.43
59687,3.9
59693,4.9
59699,4.22
59705,5.57
59711,4.96
59717,3.96
59723,2.98
59729,2.53
59735,2.17
59741,1.79
59747,1.91
59753,0.23
59759,0.83
59765,1.01
59771,0.9
59777,0.67
59783,0.54
59789,0.29
59795,-0.14
59801,-0.72
59807,-0.83
59813,0.38
59819,0.57
59825,1.87
59831,2.87
59837,3.58
59843,2.82
59849,3.79
59855,2.8
59861,2.1
59867,0.9
59873,0.14
59879,0.11
59885,-0.46
59891,-1.23
59897,-1.8
59903,-1.88
59909,-2.61
59915,-2.32
59921,-2.02
59927,-1.84
59933,-1.49
59939,-1.32
59945,-1.68
59951,-1.43
59957,-1.14
59963,-0.61
59969,0.61
59975,1.49
59981,1.48
59987,1.82
59993,2.02
59999,1.83
60005,1.57
60011,1.27
60017,0.94
60023,0.34
60029,-0.17
60035,-0.73
60041,-0.59
60047,-1.64
60053,-1.95
60059,-1.27
60065,-1.43
60071,-1.69
60077,-1.03
60083,-1.55
60089,-1.28
60095,-1.15
60101,1.24
60107,4.15
60113,3.9
60119,3.68
60125,3.78
60131,4.22
60137,5.47
60143,5.28
60149,5.06
60155,5.14
60161,5.53
60167,5.3
60173,5.5
60179,5.7
60185,5.93
60191,6.35
60197,5.94
60203,5.3
60209,5.3
60215,4.27
60221,6.66
60227,6.83
60233,6.41
60239,6.43
60245,5.65
60251,5.5
60257,5.45
60263,5.87
60269,6.68
60275,6.23
60281,2.82
60287,1.09
60293,0.52
60299,0.17
60305,-0.09
60311,-0.16
60317,-0.29
60323,-0.43
60329,-0.49
60335,-0.5
60341,-0.58
60347,-0.76
60353,-0.85
60359,-0.7
60365,-0.57
60371,-0.46
60377,-0.81
60383,-0.49
60389,0.36
60395,1.83
60401,3.44
60407,5.62
60413,7.79
60419,9.05
60425,8.35
60431,7.83
60437,7.44
60443,6.44
60449,4.78
60455,4.14
60461,3.15
60467,2.62
60473,2.42
60479,0.44
60485,1.15
60491,0.3
60497,1.23
60503,3.33
60509,2.98
60515,2.62
60521,3.36
60527,3.64
60533,7.68
60539,7.97
60545,8.74
60551,9.06
60557,9.06
60563,9.35
60569,10.31
60575,9.96
60581,8.85
60587,7.71
60593,7.22
60599,6.24
60605,6.76
60611,6.4
60617,6.64
60623,6.43
60629,5.92
60635,5.59
60641,5.81
60647,5.52
60653,5.6
60659,5.76
60665,6.43
60671,6.57
60677,6.7
60683,7.6
60689,8.36
60695,8.93
60701,8.71
60707,9.7
60713,10.05
60719,9.65
60725,8.23
60731,6.81
60737,5.47
60743,5.43
60749,4.9
60755,4.45
60761,3.77
60767,3.87
60773,3.97
60779,3.74
60785,2.79
60791,2.67
60797,1.76
60803,1.52
60809,1.65
60815,3.27
60821,4.84
60827,5.8
60833,6.35
60839,6.89
60845,7.91
60851,7.83
60857,9.15
60863,8.44
60869,7.88
60875,7.01
60881,6.05
60887,5.17
60893,4.51
60899,3.33
60905,3.62
60911,3.94
60917,3.56
60923,3.37
60929,4.15
60935,4.7
60941,5.31
60947,4.94
60953,5.19
60959,4.49
60965,4.08
60971,5.56
60977,7.95
60983,11.32
60989,12.23
60995,12.84
61001,13.76
61007,13.55
61013,12.32
61019,11.1
61025,10.27
61031,9.61
61037,8.35
61043,7.81
61049,7.45
61055,7.06
61061,6.58
61067,5.64
61073,4.01
61079,4.14
61085,3.89
61091,3.79
61097,4.13
61103,5.01
61109,4.64
61115,4.89
61121,4.96
61127,5.59
61133,5.09
61139,5.98
61145,6.12
61151,5.81
61157,3.08
61163,2.41
61169,1.59
61175,1.77
61181,2.02
61187,1.63
61193,1.31
61199,1.1
61205,1.52
61211,1.47
61217,0.96
61223,-0.11
61229,-0.41
61235,-0.44
61241,-1.16
61247,-0.27
61253,1.61
61259,3.1
61265,2.8
61271,4.06
61277,3.74
61283,3.88
61289,5.58
61295,4.3
61301,3.16
61307,2.26
61313,1.8
61319,1.43
61325,1.3
61331,0.95
61337,1.02
61343,0.04
61349,-0.62
61355,-0.82
61361,-0.88
61367,-0.7
61373,-0.32
61379,-0.03
61385,0.19
61391,0.6
61397,3.13
61403,2.08
61409,3.39
61415,3.96
61421,4.67
61427,3.94
61433,5.09
61439,4.1
61445,2.8
61451,2.08
61457,1.83
61463,0.44
61469,-0.74
61475,-2.13
61481,-2.49
61487,-3.42
61493,-3.78
61499,-4.24
61505,-4.3
61511,-4.86
61517,-4.73
61523,-4.75
61529,-5.19
61535,-0.95
61541,-1.74
61547,-1.2
61553,-0.78
61559,0.58
61565,0.48
61571,0.53
61577,0.52
61583,1.31
61589,-0.16
61595,-0.52
61601,-1.77
61607,-1.86
61613,-2.76
61619,-3.47
61625,-3.83
61631,-3.83
61637,-4.13
61643,-4.36
61649,-4.29
61655,-4.38
61661,-4.96
61667,-5.63
61673,-5.48
61679,-4.23
61685,-3.15
61691,-3.73
61697,-3.36
61703,-2.72
61709,-2.56
61715,-1.58
61721,-0.95
61727,-1.08
61733,-0.91
61739,-2.17
61745,-3.11
61751,-3.03
61757,-3.35
61763,-3.34
61769,-2.37
61775,-3.76
61781,-3.85
61787,-3.56
61793,-3.02
61799,-2.61
61805,-2.46
61811,-2.54
61817,-2.93
61823,-3.52
61829,-5.13
61835,-5.18
61841,-5.17
61847,-4.57
61853,-4.3
61859,-3.97
61865,-3.15
61871,-3.34
61877,-3.52
61883,-3.97
61889,-4.17
61895,-4.32
61901,-4.9
61907,-5.45
61913,-5.34
61919,-5.75
61925,-5.69
61931,-5.63
61937,-5.84
61943,-6.09
61949,-6.27
61955,-6.8
61961,-6.86
61967,-7.1
61973,-6.69
61979,-5.61
61985,-3.62
61991,-3.04
61997,-2.58
62003,-2.1
62009,-1.49
62015,-1.97
62021,-2.36
62027,-3.24
62033,-4.33
62039,-4.66
62045,-4.43
62051,-4.36
62057,-4.04
62063,-4.5
62069,-5.22
62075,-5.36
62081,-5.14
62087,-5.14
62093,-6.3
62099,-6.24
62105,-5.74
62111,-3.64
62117,-1.97
62123,-2.53
62129,-3.29
62135,-2.53
62141,-1.33
62147,-1.57
62153,-2.17
62159,-2.54
62165,-2.99
62171,-3.76
62177,-3.79
62183,-4.05
62189,-4.66
62195,-5.35
62201,-6.39
62207,-6.47
62213,-6.77
62219,-7.59
62225,-7.86
62231,-9.56
62237,-10.22
62243,-10.67
62249,-11.81
62255,-10.19
62261,-6.66
62267,-6.2
62273,-4.94
62279,-3.41
62285,-3.13
62291,-2.19
62297,-1.3
62303,-1.54
62309,-1.81
62315,-2.29
62321,-2.74
62327,-3.14
62333,-4.64
62339,-5.17
62345,-6.08
62351,-5.91
62357,-6.49
62363,-6.25
62369,-6.89
62375,-8.75
62381,-7.41
62387,-6.91
62393,-6.15
62399,-3.96
62405,-3.81
62411,-2.63
62417,-1.31
62423,0.07
62429,0.78
62435,0.94
62441,1.45
62447,1.12
62453,0.94
62459,0.47
62465,0.11
62471,-0.64
62477,-1.27
62483,-1.85
62489,-2.32
62495,-2.92
62501,-3.55
62507,-3.76
62513,-4.26
62519,-4.76
62525,-5.21
62531,-5.53
62537,-5.71
62543,-5.78
62549,-5.43
62555,-4.51
62561,-3.43
62567,-2.23
62573,-1.41
62579,-0.87
62585,-0.7
62591,-0.64
62597,-1.79
62603,-3.42
62609,-4.38
62615,-4.91
62621,-4.76
62627,-4.87
62633,-4.63
62639,-4.53
62645,-4.46
62651,-4.03
62657,-3.94
62663,-3.69
62669,-3.3
62675,-2.65
62681,-1.55
62687,-0.66
62693,0.08
62699,1.06
62705,1.99
62711,2.39
62717,3.58
62723,4.21
62729,4.9
62735,4.34
62741,3.08
62747,2.65
62753,2.33
62759,2.23
62765,2.55
62771,2.17
62777,1.56
62783,0.96
62789,1.3
62795,1.78
62801,1.47
62807,1.22
62813,1.16
62819,1.23
62825,1.43
62831,1.53
62837,1.68
62843,2.17
62849,2.87
62855,3.41
62861,3.83
62867,3.1
62873,3.23
62879,3.3
62885,3.33
62891,2.93
62897,2.83
62903,3.12
62909,3.32
62915,3.37
62921,3.43
62927,3.3
62933,3.18
62939,3.03
62945,3.03
62951,2.84
62957,2.5
62963,2.47
62969,2.35
62975,2.33
62981,3.29
62987,3.91
62993,4.6
62999,5.43
63005,5.92
63011,5.4
63017,5.47
63023,4.93
63029,4.79
63035,4.37
63041,4.08
63047,3.95
63053,4.08
63059,0.9
63065,0.96
63071,0.47
63077,-0.17
63083,-0.53
63089,-1.1
63095,-1.03
63101,-1.62
63107,-1.41
63113,-0.8
63119,0.36
63125,0.42
63131,1.17
63137,2.65
63143,2.49
63149,3.25
63155,4.09
63161,3.47
63167,2.52
63173,1.6
63179,3.08
63185,3.66
63191,3.91
63197,3.92
63203,3.98
63209,4.01
63215,4.03
63221,3.83
63227,3.38
63233,2.76
63239,2.37
63245,1.31
63251,0.81
63257,0.7
63263,0.77
63269,2.05
63275,2.62
63281,2.17
63287,2.03
63293,2.67
63299,2.7
63305,3.65
63311,3.47
63317,3.84
63323,3.51
63329,3.22
63335,2.77
63341,2.5
63347,2.23
63353,2.1
63359,1.71
63365,1.57
63371,3.18
63377,3.3
63383,3.16
63389,3.33
63395,3.49
63401,3.8
63407,4.38
63413,5.27
63419,6.29
63425,7.48
63431,8.43
63437,9.23
63443,10.17
63449,9.82
63455,10.01
63461,9.24
63467,8.15
63473,6.95
63479,6.02
63485,5.66
63491,4.02
63497,3.31
63503,2.89
63509,2.03
63515,1.7
63521,1.12
63527,-0.23
63533,-0.69
63539,-1.43
63545,-0.39
63551,2.38
63557,5.83
63563,8.6
63569,12.02
63575,13.25
63581,13.86
63587,14.98
63593,15.9
63599,14.73
63605,13.86
63611,12.28
63617,11.14
63623,9.62
63629,8.13
63635,7.3
63641,6.33
63647,5.81
63653,4.73
63659,3.77
63665,3.67
63671,4.11
63677,4.66
63683,3.11
63689,4.15
63695,5.83
63701,10.95
63707,12.97
63713,14.84
63719,15.32
63725,14.92
63731,15.31
63737,16.16
63743,16.09
63749,15.53
63755,14.17
63761,13.37
63767,11.44
63773,10.92
63779,10.31
63785,9.94
63791,10.25
63797,9.79
63803,7.92
63809,7.57
63815,9.68
63821,9.0
63827,8.31
63833,8.45
63839,10.15
63845,10.22
63851,11.43
63857,13.09
63863,13.85
63869,14.43
63875,14.09
63881,14.44
63887,14.58
63893,14.46
63899,14.15
63905,13.6
63911,13.43
63917,13.19
63923,12.86
63929,12.64
63935,12.56
63941,12.35
63947,11.87
63953,11.72
63959,11.39
63965,11.68
63971,10.97
63977,11.15
63983,11.97
63989,14.38
63995,14.13
64001,12.46
64007,13.31
64013,14.03
64019,11.29
64025,10.16
64031,10.3
64037,10.26
64043,9.55
64049,8.97
64055,8.34
64061,8.36
64067,7.85
64073,6.13
64079,4.99
64085,5.1
64091,3.87
64097,2.8
64103,3.06
64109,2.72
64115,2.73
64121,3.29
64127,4.54
64133,7.42
64139,8.57
64145,9.13
64151,10.23
64157,11.01
64163,12.2
64169,12.59
64175,11.88
64181,11.59
64187,10.85
64193,10.71
64199,10.31
64205,9.57
64211,9.24
64217,8.68
64223,7.52
64229,6.68
64235,5.59
64241,4.54
64247,3.67
64253,3.45
64259,2.97
64265,3.2
64271,4.71
64277,7.57
64283,10.74
64289,11.18
64295,12.72
64301,12.41
64307,12.51
64313,11.9
64319,12.36
64325,11.29
64331,10.06
64337,8.75
64343,7.62
64349,6.22
64355,5.12
64361,3.99
64367,3.23
64373,2.36
64379,1.72
64385,1.27
64391,0.43
64397,0.57
64403,0.11
64409,0.14
64415,4.07
64421,6.75
64427,10.83
64433,13.33
64439,15.37
64445,16.47
64451,17.08
64457,17.22
64463,18.02
64469,17.65
64475,16.05
64481,14.27
64487,13.21
64493,12.27
64499,11.46
64505,10.98
64511,9.58
64517,8.31
64523,7.96
64529,6.44
64535,6.47
64541,5.64
64547,4.8
64553,5.68
64559,7.94
64565,10.91
64571,14.03
64577,16.52
64583,18.19
64589,19.58
64595,20.21
64601,19.9
64607,20.33
64613,19.53
64619,18.25
64625,16.67
64631,14.72
64637,14.03
64643,12.86
64649,12.54
64655,11.69
64661,9.81
64667,8.56
64673,8.95
64679,9.37
64685,7.08
64691,6.2
64697,8.87
64703,8.59
64709,11.49
64715,15.67
64721,18.53
64727,19.87
64733,21.24
64739,20.92
64745,21.69
64751,21.51
64757,20.62
64763,9.67
64769,8.27
64775,6.59
64781,5.7
64787,5.83
64793,6.06
64799,6.15
64805,6.13
64811,6.17
64817,6.4
64823,6.37
64829,6.64
64835,6.0
64841,6.37
64847,6.98
64853,7.69
64859,8.38
64865,8.45
64871,9.11
64877,9.96
64883,9.7
64889,9.56
64895,9.57
64901,9.84
64907,8.77
64913,8.21
64919,6.93
64925,6.52
64931,5.68
64937,5.3
64943,5.12
64949,4.93
64955,4.64
64961,4.7
64967,4.58
64973,5.23
64979,5.84
64985,6.37
64991,7.27
64997,8.0
65003,9.19
65009,8.92
65015,10.01
65021,8.54
65027,10.16
65033,10.61
65039,10.64
65045,10.47
65051,9.87
65057,8.92
65063,7.88
65069,7.27
65075,7.85
65081,7.57
65087,7.55
65093,7.17
65099,7.12
65105,6.52
65111,6.38
65117,6.57
65123,6.13
65129,6.62
65135,8.33
65141,10.31
65147,11.34
65153,11.72
65159,12.25
65165,12.79
65171,12.92
65177,9.5
65183,10.25
65189,9.22
65195,8.77
65201,8.37
65207,7.56
65213,7.34
65219,7.44
65225,7.61
65231,7.79
65237,7.4
65243,6.95
65249,6.49
65255,6.25
65261,6.03
65267,6.07
65273,7.15
65279,7.16
65285,9.06
65291,12.17
65297,15.13
65303,15.98
65309,17.52
65315,18.25
65321,18.85
65327,18.32
65333,17.59
65339,16.42
65345,15.39
65351,14.43
65357,14.0
65363,11.31
65369,8.74
65375,8.33
65381,7.81
65387,6.97
65393,6.47
65399,6.7
65405,4.7
65411,4.92
65417,5.42
65423,5.25
65429,6.58
65435,7.25
65441,7.95
65447,8.49
65453,8.77
65459,10.1
65465,10.48
65471,10.39
65477,9.89
65483,9.08
65489,7.54
65495,6.39
65501,5.57
65507,4.97
65513,4.2
65519,3.74
65525,3.84
65531,2.59
65537,2.71
65543,2.51
65549,1.6
65555,1.97
65561,3.97
65567,5.23
65573,5.72
65579,5.54
65585,6.77
65591,7.31
65597,7.82
65603,7.96
65609,8.07
65615,8.1
65621,7.8
65627,7.42
65633,6.35
65639,5.45
65645,4.44
65651,3.98
65657,2.5
65663,1.35
65669,0.5
65675,-0.7
65681,-0.34
65687,-1.58
65693,-2.09
65699,-2.62
65705,0.7
65711,2.94
65717,5.34
65723,6.68
65729,8.42
65735,8.63
65741,9.93
65747,9.88
65753,10.73
65759,10.57
65765,9.36
65771,8.7
65777,7.64
65783,5.85
65789,4.11
65795,2.67
65801,1.2
65807,0.5
65813,-0.22
65819,-0.89
65825,-0.6
65831,0.91
65837,1.41
65843,2.37
65849,1.98
65855,4.28
65861,6.47
65867,8.57
65873,9.66
65879,10.93
65885,10.57
65891,10.46
65897,11.28
65903,12.03
65909,11.69
65915,11.32
65921,9.49
65927,9.22
65933,8.8
65939,8.06
65945,7.27
65951,6.69
65957,6.73
65963,5.95
65969,6.12
65975,5.3
65981,5.0
65987,5.74
65993,6.99
65999,8.7
66005,9.73
66011,10.33
66017,10.52
66023,11.27
66029,11.75
66035,12.28
66041,12.15
66047,12.28
66053,12.01
66059,10.08
66065,8.83
66071,7.8
66077,6.26
66083,5.91
66089,5.74
66095,5.06
66101,5.15
66107,5.91
66113,6.42
66119,6.31
66125,5.7
66131,5.89
66137,5.89
66143,6.38
66149,6.56
66155,6.94
66161,7.92
66167,8.5
66173,8.14
66179,8.97
66185,9.45
66191,9.26
66197,8.75
66203,8.69
66209,7.77
66215,6.32
66221,4.97
66227,3.79
66233,2.81
66239,2.56
66245,1.89
66251,1.92
66257,1.7
66263,1.59
66269,1.55
66275,1.59
66281,2.38
66287,5.23
66293,8.2
66299,9.95
66305,11.74
66311,12.45
66317,13.6
66323,13.64
66329,14.12
66335,14.01
66341,13.83
66347,12.66
66353,11.1
66359,9.85
66365,8.77
66371,7.64
66377,6.9
66383,6.03
66389,4.39
66395,4.34
66401,4.16
66407,2.54
66413,2.65
66419,2.72
66425,5.34
66431,7.99
66437,10.4
66443,11.83
66449,13.27
66455,14.56
66461,15.77
66467,16.08
66473,17.2
66479,17.82
66485,17.81
66491,16.3
66497,14.2
66503,12.78
66509,10.5
66515,9.53
66521,8.49
66527,7.95
66533,7.82
66539,4.82
66545,4.15
66551,3.03
66557,1.88
66563,3.62
66569,6.83
66575,7.04
66581,11.17
66587,13.63
66593,17.12
66599,18.71
66605,16.84
66611,18.1
66617,17.94
66623,16.8
66629,15.65
66635,14.45
66641,13.04
66647,11.66
66653,10.86
66659,10.18
66665,9.8
66671,9.47
66677,9.3
66683,9.11
66689,7.74
66695,6.85
66701,6.1
66707,5.62
66713,7.91
66719,8.18
66725,8.09
66731,8.88
66737,8.56
66743,10.66
66749,10.62
66755,10.55
66761,10.86
66767,11.82
66773,10.83
66779,10.48
66785,9.83
66791,9.39
66797,9.23
66803,8.33
66809,7.7
66815,7.98
66821,7.35
66827,6.7
66833,6.48
66839,5.43
66845,4.19
66851,4.04
66857,4.56
66863,4.97
66869,4.81
66875,5.21
66881,5.78
66887,5.7
66893,7.2
66899,7.8
66905,8.19
66911,8.12
66917,9.76
66923,8.62
66929,4.48
66935,4.33
66941,3.22
66947,3.28
66953,3.24
66959,3.53
66965,3.57
66971,3.73
66977,2.91
66983,1.53
66989,2.27
66995,1.18
67001,1.36
67007,1.32
67013,2.13
67019,2.61
67025,3.26
67031,4.0
67037,3.91
67043,4.52
67049,4.93
67055,4.82
67061,5.01
67067,5.15
67073,4.61
67079,4.11
67085,3.04
67091,2.86
67097,3.15
67103,3.7
67109,3.76
67115,3.83
67121,3.55
67127,3.08
67133,3.0
67139,2.65
67145,2.51
67151,2.45
67157,2.57
67163,2.87
67169,3.12
67175,3.55
67181,4.08
67187,5.02
67193,6.93
67199,8.23
67205,8.51
67211,7.96
67217,7.82
67223,7.3
67229,7.41
67235,7.57
67241,7.57
67247,6.94
67253,6.08
67259,5.74
67265,5.43
67271,4.86
67277,4.23
67283,3.71
67289,4.31
67295,5.38
67301,6.61
67307,7.56
67313,8.9
67319,10.51
67325,10.58
67331,11.44
67337,12.2
67343,11.89
67349,11.58
67355,10.96
67361,10.16
67367,9.4
67373,8.54
67379,8.33
67385,8.01
67391,7.91
67397,7.2
67403,6.47
67409,5.98
67415,4.98
67421,4.24
67427,4.12
67433,3.76
67439,5.71
67445,5.51
67451,6.43
67457,7.87
67463,7.67
67469,8.62
67475,5.37
67481,5.57
67487,5.65
67493,5.31
67499,5.16
67505,5.09
67511,4.97
67517,4.84
67523,4.91
67529,5.04
67535,5.15
67541,4.93
67547,4.84
67553,4.52
67559,4.24
67565,4.37
67571,4.23
67577,4.39
67583,4.23
67589,4.53
67595,4.7
67601,4.89
67607,5.05
67613,5.0
67619,5.76
67625,5.21
67631,4.28
67637,4.3
67643,4.31
67649,4.43
67655,4.37
67661,4.38
67667,4.35
67673,4.03
67679,3.81
67685,3.68
67691,3.57
67697,3.5
67703,3.21
67709,2.63
67715,2.14
67721,3.3
67727,5.62
67733,6.75
67739,6.1
67745,6.67
67751,8.03
67757,9.85
67763,9.51
67769,9.32
67775,9.65
67781,9.45
